id_equipment,name,desc,category,gear_category,cost,weight,speed,range,capacity,properties,damage,damage_type,category_range,throw_range,weapon_category,weapon_range,armor_category,armor_class,tool_category,vehicle_category
11,"Ball bearings (bag of 1,000)","As an action, you can spill these tiny metal balls from their pouch to cover a level, square area that is 10 feet on a side., A creature moving across the covered area must succeed on a DC 10 Dexterity saving throw or fall prone., A creature moving through the area at half speed doesnt need to make the save.",Adventuring Gear,Standard Gear,1 gp,2.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
12,Barding: Breastplate,"Barding is armor designed to protect an animals head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.",Mounts and Vehicles,,1600 gp,40.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
13,Barding: Chain mail,"Barding is armor designed to protect an animals head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.",Mounts and Vehicles,,300 gp,110.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
14,Barding: Chain shirt,"Barding is armor designed to protect an animals head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.",Mounts and Vehicles,,200 gp,40.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
15,Barding: Half plate,"Barding is armor designed to protect an animals head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.",Mounts and Vehicles,,3000 gp,80.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
16,Barding: Hide,"Barding is armor designed to protect an animals head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.",Mounts and Vehicles,,40 gp,24.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
17,Barding: Leather,"Barding is armor designed to protect an animals head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.",Mounts and Vehicles,,40 gp,20.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
18,Barding: Padded,"Barding is armor designed to protect an animals head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.",Mounts and Vehicles,,20 gp,16.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
19,Barding: Plate,"Barding is armor designed to protect an animals head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.",Mounts and Vehicles,,6000 gp,130.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
20,Barding: Ring mail,"Barding is armor designed to protect an animals head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.",Mounts and Vehicles,,12 gp,80.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
21,Barding: Scale mail,"Barding is armor designed to protect an animals head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.",Mounts and Vehicles,,200 gp,90.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
22,Barding: Splint,"Barding is armor designed to protect an animals head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.",Mounts and Vehicles,,800 gp,120.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
23,Barding: Studded Leather,"Barding is armor designed to protect an animals head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.",Mounts and Vehicles,,180 gp,26.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
24,Barrel,None,Adventuring Gear,Standard Gear,2 gp,70.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
25,Basket,None,Adventuring Gear,Standard Gear,4 sp,2.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
26,Battleaxe,None,Weapon,,10 gp,4.0,None,Range: 5; Long: None,None,Versatile,1d8,Slashing,Martial Melee,None,Martial,Melee,None,None,None,None
27,Bedroll,None,Adventuring Gear,Standard Gear,1 gp,7.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
28,Bell,None,Adventuring Gear,Standard Gear,1 gp,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
29,Bit and bridle,None,Mounts and Vehicles,,2 gp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
30,Blanket,None,Adventuring Gear,Standard Gear,5 sp,3.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
31,Block and tackle,"A set of pulleys with a cable threaded through them and a hook to attach to objects, a block and tackle allows you to hoist up to four times the weight you can normally lift.",Adventuring Gear,Standard Gear,1 gp,5.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
32,Blowgun,None,Weapon,,10 gp,1.0,None,Range: 25; Long: 100,None,"Ammunition, Loading",1d1,Piercing,Martial Ranged,None,Martial,Ranged,None,None,None,None
33,Blowgun needle,None,Adventuring Gear,Ammunition,1 gp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
34,Book,"A book might contain poetry, historical accounts, information pertaining to a particular field of lore, diagrams and notes on gnomish contraptions, or just about anything else that can be represented using text or pictures. A book of spells is a spellbook (described later in this section).",Adventuring Gear,Standard Gear,25 gp,5.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
35,"Bottle, glass",None,Adventuring Gear,Standard Gear,2 gp,2.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
36,Breastplate,None,Armor,,400 gp,20.0,None,None,None,None,None,None,None,None,None,None,Medium,Base: 14; Max bonus: 2,None,None
37,Brewer's supplies,"These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisans tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisans tools requires a separate proficiency.",Tools,,20 gp,9.0,None,None,None,None,None,None,None,None,None,None,None,None,Artisan's Tools,None
38,Bucket,None,Adventuring Gear,Standard Gear,5 cp,2.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
39,Burglar's Pack,None,Adventuring Gear,Equipment Pack,16 gp,,None,None,None,None,None,None,None,None,None,None,None,None,None,None
40,Calligrapher's supplies,"These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisans tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisans tools requires a separate proficiency.",Tools,,10 gp,5.0,None,None,None,None,None,None,None,None,None,None,None,None,Artisan's Tools,None
41,Caltrops,"As an action, you can spread a bag of caltrops to cover a square area that is 5 feet on a side., Any creature that enters the area must succeed on a DC 15 Dexterity saving throw or stop moving this turn and take 1 piercing damage., Taking this damage reduces the creatures walking speed by 10 feet until the creature regains at least 1 hit point., A creature moving through the area at half speed doesnt need to make the save.",Adventuring Gear,Standard Gear,5 cp,2.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
42,Camel,None,Mounts and Vehicles,,50 gp,,50 ft/round,None,480 lb.,None,None,None,None,None,None,None,None,None,None,Mounts and Other Animals
43,Candle,"For 1 hour, a candle sheds bright light in a 5-foot radius and dim light for an additional 5 feet.",Adventuring Gear,Standard Gear,1 cp,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
44,Carpenter's tools,"These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisans tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisans tools requires a separate proficiency.",Tools,,8 gp,6.0,None,None,None,None,None,None,None,None,None,None,None,None,Artisan's Tools,None
45,Carriage,None,Mounts and Vehicles,,100 gp,600.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
46,Cart,None,Mounts and Vehicles,,15 gp,200.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
47,Cartographer's tools,"These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisans tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisans tools requires a separate proficiency.",Tools,,15 gp,6.0,None,None,None,None,None,None,None,None,None,None,None,None,Artisan's Tools,None
48,"Case, crossbow bolt",This wooden case can hold up to twenty crossbow bolts.,Adventuring Gear,Standard Gear,1 gp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
49,"Case, map or scroll",This cylindrical leather case can hold up to ten rolled-up sheets of paper or five rolled-up sheets of parchment.,Adventuring Gear,Standard Gear,1 gp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
50,Chain (10 feet),A chain has 10 hit points. It can be burst with a successful DC 20 Strength check.,Adventuring Gear,Standard Gear,5 gp,10.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
51,Chain Mail,None,Armor,,75 gp,55.0,None,None,None,None,None,None,None,None,None,None,Heavy,Base: 16; Max bonus: None,None,None
52,Chain Shirt,None,Armor,,50 gp,20.0,None,None,None,None,None,None,None,None,None,None,Medium,Base: 13; Max bonus: 2,None,None
53,Chalk (1 piece),None,Adventuring Gear,Standard Gear,1 cp,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
54,Chariot,None,Mounts and Vehicles,,250 gp,100.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
55,Chest,None,Adventuring Gear,Standard Gear,5 gp,25.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
56,Climber's Kit,"A climbers kit includes special pitons, boot tips, gloves, and a harness. You can use the climbers kit as an action to anchor yourself; when you do, you cant fall more than 25 feet from the point where you anchored yourself, and you cant climb more than 25 feet away from that point without undoing the anchor.",Adventuring Gear,Kit,25 gp,12.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
57,"Clothes, common",None,Adventuring Gear,Standard Gear,5 sp,3.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
58,"Clothes, costume",None,Adventuring Gear,Standard Gear,5 gp,4.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
59,"Clothes, fine",None,Adventuring Gear,Standard Gear,15 gp,6.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
60,"Clothes, traveler's",None,Adventuring Gear,Standard Gear,2 gp,4.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
61,Club,None,Weapon,,1 sp,2.0,None,Range: 5; Long: None,None,"Light, Monk",1d4,Bludgeoning,Simple Melee,None,Simple,Melee,None,None,None,None
62,Cobbler's tools,"These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisans tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisans tools requires a separate proficiency.",Tools,,5 gp,5.0,None,None,None,None,None,None,None,None,None,None,None,None,Artisan's Tools,None
63,Component pouch," A component pouch is a small, watertight leather belt pouch that has compartments to hold all the material components and other special items you need to cast your spells, except for those components that have a specific cost (as indicated in a spells description).",Adventuring Gear,Standard Gear,25 gp,2.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
64,Cook's utensils,"These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisans tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisans tools requires a separate proficiency.",Tools,,1 gp,8.0,None,None,None,None,None,None,None,None,None,None,None,None,Artisan's Tools,None
65,Crossbow bolt,None,Adventuring Gear,Ammunition,1 gp,1.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None
66,"Crossbow, hand",None,Weapon,,75 gp,3.0,None,Range: 30; Long: 120,None,"Ammunition, Light, Loading",1d6,Piercing,Martial Ranged,None,Martial,Ranged,None,None,None,None
67,"Crossbow, heavy",None,Weapon,,50 gp,18.0,None,Range: 100; Long: 400,None,"Ammunition, Light, Loading, Two-Handed",1d10,Piercing,Martial Ranged,None,Martial,Ranged,None,None,None,None
68,"Crossbow, light",None,Weapon,,25 gp,5.0,None,Range: 80; Long: 320,None,"Ammunition, Loading, Two-Handed",1d8,Piercing,Simple Ranged,None,Simple,Ranged,None,None,None,None
69,Crowbar,Using a crowbar grants advantage to Strength checks where the crowbars leverage can be applied.,Adventuring Gear,Standard Gear,2 gp,5.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
70,Crystal,"An arcane focus is a special item--an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item--designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.",Adventuring Gear,Arcane focus,10 gp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
71,Dagger,None,Weapon,,2 gp,1.0,None,Range: 5; Long: None,None,"Finesse, Light, Thrown, Monk",1d4,Piercing,Simple Melee,Range: 20; Long: 60,Simple,Melee,None,None,None,None
72,Dart,None,Weapon,,5 cp,0.25,None,Range: 20; Long: 60,None,"Finesse, Thrown",1d4,Piercing,Simple Ranged,Range: 20; Long: 60,Simple,Ranged,None,None,None,None
73,Dice set,"This item encompasses a wide range of game pieces, including dice and decks of cards (for games such as Three-Dragon Ante). A few common examples appear on the Tools table, but other kinds of gaming sets exist. If you are proficient with a gaming set, you can add your proficiency bonus to ability checks you make to play a game with that set. Each type of gaming set requires a separate proficiency.",Tools,,1 sp,0.0,None,None,None,None,None,None,None,None,None,None,None,None,Gaming Sets,None
74,Diplomat's Pack,None,Adventuring Gear,Equipment Pack,39 gp,,None,None,None,None,None,None,None,None,None,None,None,None,None,None
75,Disguise Kit,"This pouch of cosmetics, hair dye, and small props lets you create disguises that change your physical appearance. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to create a visual disguise.",Adventuring Gear,Kit,25 gp,3.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
76,Donkey,None,Mounts and Vehicles,,8 gp,,40 ft/round,None,420 lb.,None,None,None,None,None,None,None,None,None,None,Mounts and Other Animals
77,Drum,"Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.",Tools,,6 gp,3.0,None,None,None,None,None,None,None,None,None,None,None,None,Musical Instrument,None
78,Dulcimer,"Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.",Tools,,25 gp,10.0,None,None,None,None,None,None,None,None,None,None,None,None,Musical Instrument,None
79,Dungeoneer's Pack,None,Adventuring Gear,Equipment Pack,12 gp,,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80,Elephant,None,Mounts and Vehicles,,200 gp,,40 ft/round,None,"1,320 lb.",None,None,None,None,None,None,None,None,None,None,Mounts and Other Animals
81,Emblem,"A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic., Appendix B lists the symbols commonly associated with many gods in the multiverse. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield.",Adventuring Gear,Holy Symbol,5 gp,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
82,Entertainer's Pack,None,Adventuring Gear,Equipment Pack,40 gp,,None,None,None,None,None,None,None,None,None,None,None,None,None,None
83,Explorer's Pack,None,Adventuring Gear,Equipment Pack,10 gp,,None,None,None,None,None,None,None,None,None,None,None,None,None,None
84,Fishing tackle,"This kit includes a wooden rod, silken line, corkwood bobbers, steel hooks, lead sinkers, velvet lures, and narrow netting.",Adventuring Gear,Standard Gear,1 gp,4.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
85,Flail,None,Weapon,,10 gp,2.0,None,Range: 5; Long: None,None,None,1d8,Bludgeoning,Martial Melee,None,Martial,Melee,None,None,None,None
86,Flask or tankard,None,Adventuring Gear,Standard Gear,2 cp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
87,Flute,"Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.",Tools,,2 gp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,Musical Instrument,None
88,Forgery Kit,"This small box contains a variety of papers and parchments, pens and inks, seals and sealing wax, gold and silver leaf, and other supplies necessary to create convincing forgeries of physical documents. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to create a physical forgery of a document.",Adventuring Gear,Kit,15 gp,5.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
89,Galley,None,Mounts and Vehicles,,30000 gp,,4 mph,None,None,None,None,None,None,None,None,None,None,None,None,Waterborne Vehicles
90,Glaive,None,Weapon,,20 gp,6.0,None,Range: 5; Long: None,None,"Heavy, Reach, Two-Handed",1d10,Slashing,Martial Melee,None,Martial,Melee,None,None,None,None
91,Glassblower's tools,"These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisans tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisans tools requires a separate proficiency.",Tools,,30 gp,5.0,None,None,None,None,None,None,None,None,None,None,None,None,Artisan's Tools,None
92,Grappling hook,None,Adventuring Gear,Standard Gear,2 gp,4.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
93,Greataxe,None,Weapon,,30 gp,7.0,None,Range: 5; Long: None,None,"Heavy, Two-Handed",1d12,Slashing,Martial Melee,None,Martial,Melee,None,None,None,None
94,Greatclub,None,Weapon,,2 sp,10.0,None,Range: 5; Long: None,None,Two-Handed,1d8,Bludgeoning,Simple Melee,None,Simple,Melee,None,None,None,None
95,Greatsword,None,Weapon,,50 gp,6.0,None,Range: 5; Long: None,None,"Heavy, Two-Handed",2d6,Slashing,Martial Melee,None,Martial,Melee,None,None,None,None
96,Halberd,None,Weapon,,20 gp,6.0,None,Range: 5; Long: None,None,"Heavy, Reach, Two-Handed",1d10,Slashing,Martial Melee,None,Martial,Melee,None,None,None,None
97,Half Plate,None,Armor,,750 gp,40.0,None,None,None,None,None,None,None,None,None,None,Medium,Base: 15; Max bonus: 2,None,None
98,Hammer,None,Adventuring Gear,Standard Gear,1 gp,3.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
99,"Hammer, sledge",None,Adventuring Gear,Standard Gear,2 gp,10.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
100,Handaxe,None,Weapon,,5 gp,2.0,None,Range: 5; Long: None,None,"Light, Thrown, Monk",1d6,Slashing,Simple Melee,Range: 20; Long: 60,Simple,Melee,None,None,None,None
101,Healer's Kit,"This kit is a leather pouch containing bandages, salves, and splints. The kit has ten uses. As an action, you can expend one use of the kit to stabilize a creature that has 0 hit points, without needing to make a Wisdom (Medicine) check.",Adventuring Gear,Kit,5 gp,3.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
102,Herbalism Kit,"This kit contains a variety of instruments such as clippers, mortar and pestle, and pouches and vials used by herbalists to create remedies and potions. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to identify or apply herbs. Also, proficiency with this kit is required to create antitoxin and potions of healing.",Adventuring Gear,Kit,5 gp,3.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
103,Hide,None,Armor,,10 gp,12.0,None,None,None,None,None,None,None,None,None,None,Medium,Base: 12; Max bonus: 2,None,None
104,Holy water (flask),"As an action, you can splash the contents of this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. In either case, make a ranged attack against a target creature, treating the holy water as an improvised weapon., If the target is a fiend or undead, it takes 2d6 radiant damage., A cleric or paladin may create holy water by performing a special ritual., The ritual takes 1 hour to perform, uses 25 gp worth of powdered silver, and requires the caster to expend a 1st-level spell slot.",Adventuring Gear,Standard Gear,25 gp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
105,Horn,"Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.",Tools,,3 gp,2.0,None,None,None,None,None,None,None,None,None,None,None,None,Musical Instrument,None
106,"Horse, draft",None,Mounts and Vehicles,,50 gp,,40 ft/round,None,540 lb.,None,None,None,None,None,None,None,None,None,None,Mounts and Other Animals
107,"Horse, riding",None,Mounts and Vehicles,,75 gp,,60 ft/round,None,480 lb.,None,None,None,None,None,None,None,None,None,None,Mounts and Other Animals
108,Hourglass,None,Adventuring Gear,Standard Gear,25 gp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
109,Hunting trap,"When you use your action to set it, this trap forms a saw-toothed steel ring that snaps shut when a creature steps on a pressure plate in the center. The trap is affixed by a heavy chain to an immobile object, such as a tree or a spike driven into the ground., A creature that steps on the plate must succeed on a DC 13 Dexterity saving throw or take 1d4 piercing damage and stop moving. Thereafter, until the creature breaks free of the trap, its movement is limited by the length of the chain (typically 3 feet long)., A creature can use its action to make a DC 13 Strength check, freeing itself or another creature within its reach on a success. Each failed check deals 1 piercing damage to the trapped creature.",Adventuring Gear,Standard Gear,5 gp,25.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
110,Ink (1 ounce bottle),None,Adventuring Gear,Standard Gear,10 gp,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
111,Ink pen,None,Adventuring Gear,Standard Gear,2 cp,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
112,Javelin,None,Weapon,,5 sp,2.0,None,Range: 5; Long: None,None,"Thrown, Monk",1d6,Piercing,Simple Melee,Range: 30; Long: 120,Simple,Melee,None,None,None,None
113,Jeweler's tools,"These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisans tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisans tools requires a separate proficiency.",Tools,,25 gp,2.0,None,None,None,None,None,None,None,None,None,None,None,None,Artisan's Tools,None
114,Jug or pitcher,None,Adventuring Gear,Standard Gear,2 cp,4.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
115,Keelboat,"Keelboats and rowboats are used on lakes and rivers. If going downstream, add the speed of the current (typically 3 miles per hour) to the speed of the vehicle. These vehicles cant be rowed against any significant current, but they can be pulled upstream by draft animals on the shores. A rowboat weighs 100 pounds, in case adventurers carry it over land.",Mounts and Vehicles,,3000 gp,,1 mph,None,None,None,None,None,None,None,None,None,None,None,None,Waterborne Vehicles
116,Ladder (10-foot),None,Adventuring Gear,Standard Gear,1 sp,25.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
117,Lamp,"A lamp casts bright light in a 15-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil.",Adventuring Gear,Standard Gear,5 sp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
118,Lance,None,Weapon,,10 gp,6.0,None,Range: 5; Long: None,None,"Reach, Special",1d12,Piercing,Martial Melee,None,Martial,Melee,None,None,None,None
119,"Lantern, bullseye","A bullseye lantern casts bright light in a 60-foot cone and dim light for an additional 60 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil.",Adventuring Gear,Standard Gear,10 gp,2.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
120,"Lantern, hooded","A hooded lantern casts bright light in a 30-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil. As an action, you can lower the hood, reducing the light to dim light in a 5-foot radius.",Adventuring Gear,Standard Gear,5 gp,2.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
121,Leather,None,Armor,,10 gp,10.0,None,None,None,None,None,None,None,None,None,None,Light,Base: 11; Max bonus: None,None,None
